Dates	Ticker	Weight
31/05/2013	MYGN UW Equity	0.007196
31/05/2013	MYL UW Equity	0.024947
31/05/2013	NBIX UW Equity	0.001392
31/05/2013	NKTR UW Equity	0.003987
31/05/2013	NPSP UQ Equity	0.004260
31/05/2013	NVAX UW Equity	0.000851
31/05/2013	NVLNF UW Equity	0.001012
31/05/2013	OMER UQ Equity	0.000474
31/05/2013	ONCT UQ Equity	0.001139
31/05/2013	ONXX UW Equity	0.027894
31/05/2013	OPTR UW Equity	0.002063
31/05/2013	OREXQ UW Equity	0.001660
31/05/2013	OSIR UQ Equity	0.001151
31/05/2013	PACB UW Equity	0.000438
31/05/2013	PCRX UW Equity	0.002561
31/05/2013	PDLI UW Equity	0.002609
31/05/2013	PGNX UW Equity	0.000576
31/05/2013	PRGO UW Equity	0.031501
31/05/2013	PSTV UQ Equity	0.000469
31/05/2013	QCOR UW Equity	0.006643
31/05/2013	QGEN UW Equity	0.007835
31/05/2013	REGN UW Equity	0.100337
31/05/2013	RGEN UW Equity	0.000764
31/05/2013	RIGL UW Equity	0.001278
31/05/2013	RPTP UQ Equity	0.001169
31/05/2013	SAVA UW Equity	0.000288
31/05/2013	SCLN UW Equity	0.000713
31/05/2013	SCMP UQ Equity	0.001014
31/05/2013	SGEN UW Equity	0.011546
31/05/2013	SGMO UW Equity	0.001242
31/05/2013	SGYPQ UQ Equity	0.001330
31/05/2013	SHPG UW Equity	0.010187
31/05/2013	SIGA UQ Equity	0.000612
31/05/2013	SLXP UW Equity	0.011614
31/05/2013	SNTS UW Equity	0.004544
31/05/2013	SPPI UW Equity	0.001517
31/05/2013	SQNM UW Equity	0.001460
31/05/2013	SRPT UQ Equity	0.003332
31/05/2013	SUPN UQ Equity	0.000581
31/05/2013	SVA UW Equity	0.000652
31/05/2013	TECH UW Equity	0.004766
31/05/2013	TSRX UQ Equity	0.001030
31/05/2013	UTHR UW Equity	0.011331
31/05/2013	VNDA UQ Equity	0.000765
31/05/2013	VPHM UW Equity	0.005144
31/05/2013	VRTX UW Equity	0.049279
31/05/2013	VVUSQ UW Equity	0.003604
31/05/2013	WCRX UW Equity	0.008766
31/05/2013	XNPT UW Equity	0.000782
31/05/2013	XOMA UQ Equity	0.001017
31/05/2013	ZGNX UQ Equity	0.000444
28/06/2013	1255459D UW Equity	0.039625
28/06/2013	1832555D UQ Equity	0.001647
28/06/2013	1872828D UW Equity	0.000000
28/06/2013	1878384D UQ Equity	0.000703
28/06/2013	1893407D UW Equity	0.002454
28/06/2013	ACAD UQ Equity	0.004984
28/06/2013	ACOR UW Equity	0.004159
28/06/2013	AEGR UW Equity	0.005672
28/06/2013	AFFX UW Equity	0.000981
28/06/2013	AKRXQ UW Equity	0.000000
28/06/2013	ALKS UW Equity	0.011976
28/06/2013	ALNY UW Equity	0.005991
28/06/2013	ALXN UW Equity	0.039103
28/06/2013	AMAG UW Equity	0.001492
28/06/2013	AMGN UW Equity	0.081161
28/06/2013	AMRI UW Equity	0.001159
28/06/2013	AMRN UQ Equity	0.002571
28/06/2013	ARIA UW Equity	0.010038
28/06/2013	ARNA UW Equity	0.005211
28/06/2013	ARQL UQ Equity	0.000451
28/06/2013	ASTX UW Equity	0.001208
28/06/2013	AUXL UW Equity	0.002548
28/06/2013	AVEO UW Equity	0.000403
28/06/2013	AVNR UW Equity	0.002074
28/06/2013	BIIB UW Equity	0.074937
28/06/2013	BMRN UW Equity	0.024099
28/06/2013	CADX UW Equity	0.001818
28/06/2013	CASC UW Equity	0.000277
28/06/2013	CBIO UW Equity	0.000446
28/06/2013	CBST UW Equity	0.009787
28/06/2013	CELG UW Equity	0.078191
28/06/2013	CERS UQ Equity	0.000958
28/06/2013	CLDX UW Equity	0.003923
28/06/2013	CLVSQ UW Equity	0.005467
28/06/2013	CRIS UQ Equity	0.000798
28/06/2013	DNDNQ UW Equity	0.002018
28/06/2013	DYAX UQ Equity	0.001174
28/06/2013	ECYT UW Equity	0.001468
28/06/2013	ENDPQ UW Equity	0.012832
28/06/2013	ENZN UW Equity	0.000272
28/06/2013	EXEL UW Equity	0.002593
28/06/2013	FOLD UQ Equity	0.000359
28/06/2013	FRTX UW Equity	0.000841
28/06/2013	FURX UW Equity	0.001071
28/06/2013	GERN UW Equity	0.000608
28/06/2013	GEVA UW Equity	0.003559
28/06/2013	GHDX UW Equity	0.002977
28/06/2013	GILD UW Equity	0.077735
28/06/2013	GRFS UW Equity	0.008793
28/06/2013	HALO UW Equity	0.002792
28/06/2013	HITK UW Equity	0.001400
28/06/2013	HPTX UQ Equity	0.001370
28/06/2013	IDIX UW Equity	0.001503
28/06/2013	ILMN UW Equity	0.028925
28/06/2013	IMGN UW Equity	0.004358
28/06/2013	IMMU UQ Equity	0.001398
28/06/2013	INCY UW Equity	0.009280
28/06/2013	INFI UW Equity	0.002418
28/06/2013	INVA UW Equity	0.011907
28/06/2013	IONS UW Equity	0.009434
28/06/2013	IPXL UW Equity	0.004245
28/06/2013	IRWD UW Equity	0.002873
28/06/2013	ITMN UW Equity	0.002440
28/06/2013	JAZZ UW Equity	0.012569
28/06/2013	LGND UQ Equity	0.002353
28/06/2013	LMNX UW Equity	0.002663
28/06/2013	LUMO UQ Equity	0.001569
28/06/2013	LXRX UW Equity	0.003459
28/06/2013	MACK UW Equity	0.002009
28/06/2013	MDCO UW Equity	0.005352
28/06/2013	MDGL UQ Equity	0.001072
28/06/2013	MDVN UW Equity	0.011463
28/06/2013	MNKD UQ Equity	0.005875
28/06/2013	MNTA UW Equity	0.002430
28/06/2013	MYGN UW Equity	0.006651
28/06/2013	MYL UW Equity	0.036746
28/06/2013	NBIX UW Equity	0.002775
28/06/2013	NKTR UW Equity	0.004146
28/06/2013	NPSP UQ Equity	0.004708
28/06/2013	NVAX UW Equity	0.000971
28/06/2013	NVLNF UW Equity	0.000694
28/06/2013	OMER UQ Equity	0.000467
28/06/2013	ONCT UQ Equity	0.001291
28/06/2013	ONXX UW Equity	0.019624
28/06/2013	OPTR UW Equity	0.002191
28/06/2013	OREXQ UW Equity	0.001720
28/06/2013	OSIR UQ Equity	0.001030
28/06/2013	PACB UW Equity	0.000476
28/06/2013	PCRX UW Equity	0.002978
28/06/2013	PDLI UW Equity	0.003358
28/06/2013	PGNX UW Equity	0.000707
28/06/2013	PSTV UQ Equity	0.000480
28/06/2013	QCOR UW Equity	0.008413
28/06/2013	QGEN UW Equity	0.014479
28/06/2013	REGN UW Equity	0.063830
28/06/2013	RGEN UW Equity	0.000805
28/06/2013	RIGL UW Equity	0.000904
28/06/2013	RPTP UQ Equity	0.001611
28/06/2013	SAVA UW Equity	0.000311
28/06/2013	SCLN UW Equity	0.000833
28/06/2013	SCMP UQ Equity	0.000858
28/06/2013	SGEN UW Equity	0.011855
28/06/2013	SGMO UW Equity	0.001304
28/06/2013	SGYPQ UQ Equity	0.001211
28/06/2013	SHPG UW Equity	0.010978
28/06/2013	SIGA UQ Equity	0.000460
28/06/2013	SLXP UW Equity	0.012601
28/06/2013	SNTS UW Equity	0.004247
28/06/2013	SPPI UW Equity	0.001391
28/06/2013	SQNM UW Equity	0.001506
28/06/2013	SRPT UQ Equity	0.003773
28/06/2013	SUPN UQ Equity	0.000619
28/06/2013	SVA UW Equity	0.000673
28/06/2013	TECH UW Equity	0.007907
28/06/2013	TSRX UQ Equity	0.001208
28/06/2013	UTHR UW Equity	0.010159
28/06/2013	VNDA UQ Equity	0.000712
28/06/2013	VPHM UW Equity	0.005814
28/06/2013	VRTX UW Equity	0.041123
28/06/2013	VVUSQ UW Equity	0.003935
28/06/2013	WCRX UW Equity	0.015494
28/06/2013	XNPT UW Equity	0.000729
28/06/2013	XOMA UQ Equity	0.000935
28/06/2013	ZGNX UQ Equity	0.000536
31/07/2013	1255459D UW Equity	0.035012
31/07/2013	1832555D UQ Equity	0.002118
31/07/2013	1872828D UW Equity	0.000000
31/07/2013	1878384D UQ Equity	0.000844
31/07/2013	1893407D UW Equity	0.001878
31/07/2013	ACAD UQ Equity	0.004742
31/07/2013	ACOR UW Equity	0.004196
31/07/2013	AEGR UW Equity	0.007190
31/07/2013	AFFX UW Equity	0.000736
31/07/2013	AKRXQ UW Equity	0.000000
31/07/2013	ALKS UW Equity	0.012292
31/07/2013	ALNY UW Equity	0.007819
31/07/2013	ALXN UW Equity	0.043192
31/07/2013	AMAG UW Equity	0.001322
31/07/2013	AMGN UW Equity	0.078089
31/07/2013	AMRI UW Equity	0.001088
31/07/2013	AMRN UQ Equity	0.002122
31/07/2013	ARIA UW Equity	0.009347
31/07/2013	ARNA UW Equity	0.004123
31/07/2013	ARQL UQ Equity	0.000455
31/07/2013	ASTX UW Equity	0.001348
31/07/2013	AUXL UW Equity	0.002466
31/07/2013	AVEO UW Equity	0.000339
31/07/2013	AVNR UW Equity	0.001862
31/07/2013	BIIB UW Equity	0.066583
31/07/2013	BMRN UW Equity	0.024480
31/07/2013	CADX UW Equity	0.001746
31/07/2013	CASC UW Equity	0.000268
31/07/2013	CBIO UW Equity	0.000458
